row,col,target,local_estimate,local_error,global_estimate,global_error
mode24_x,mode25_x,0.0,0.0,0.0,0.0,0.0
mode24_x,mode25_p,0.0,-0.0,-0.0,0.0,0.0
mode24_p,mode21_x,0.0,-0.0,-0.0,-0.0,-0.0
mode24_p,mode21_p,0.0,0.0,0.0,0.0,0.0
mode24_p,mode22_x,0.0,-0.0,-0.0,-0.0,-0.0
mode24_p,mode22_p,0.0,0.0,0.0,0.0,0.0
mode24_p,mode23_x,0.0,-0.0,-0.0,0.0,0.0
mode24_p,mode23_p,0.0,-0.0,-0.0,-0.0,-0.0
mode24_p,mode24_x,-0.5,-0.5013371639400912,-0.0013371639400912017,-0.5133098898252867,-0.013309889825286692
mode24_p,mode24_p,1.05,1.0457937813057403,-0.004206218694259745,1.0702913132169032,0.02029131321690314
mode24_p,mode25_x,-0.5,-0.49017539742790517,0.009824602572094832,-0.505187286225816,-0.00518728622581599
mode24_p,mode25_p,0.0,-0.0,-0.0,-0.0,-0.0
mode25_x,mode21_x,0.0,0.0,0.0,0.0,0.0
mode25_x,mode21_p,0.0,-0.0,-0.0,-0.0,-0.0
mode25_x,mode22_x,0.0,0.0,0.0,0.0,0.0
mode25_x,mode22_p,0.0,-0.0,-0.0,-0.0,-0.0
mode25_x,mode23_x,0.0,-0.0,-0.0,-0.0,-0.0
mode25_x,mode23_p,0.0,-0.0,-0.0,0.0,0.0
mode25_x,mode24_x,0.0,0.0,0.0,0.0,0.0
mode25_x,mode24_p,-0.5,-0.49017539742790517,0.009824602572094832,-0.505187286225816,-0.00518728622581599
mode25_x,mode25_x,1.05,1.0359994552071192,-0.01400054479288082,1.0556766824656343,0.005676682465634242
mode25_x,mode25_p,-0.5,-0.48994715548236134,0.01005284451763866,-0.499413469554547,0.0005865304454529818
mode25_p,mode21_x,0.0,0.0,0.0,0.0,0.0
mode25_p,mode21_p,0.0,0.0,0.0,0.0,0.0
mode25_p,mode22_x,0.0,-0.0,-0.0,-0.0,-0.0
mode25_p,mode22_p,0.0,0.0,0.0,0.0,0.0
mode25_p,mode23_x,0.0,0.0,0.0,0.0,0.0
mode25_p,mode23_p,0.0,-0.0,-0.0,-0.0,-0.0
mode25_p,mode24_x,0.0,-0.0,-0.0,0.0,0.0
mode25_p,mode24_p,0.0,-0.0,-0.0,-0.0,-0.0
mode25_p,mode25_x,-0.5,-0.48994715548236134,0.01005284451763866,-0.499413469554547,0.0005865304454529818
mode25_p,mode25_p,1.05,1.0429878736110507,-0.007012126388949325,1.0624465049599436,0.012446504959943594
