Samples,l,Error,ErrorStd,Repeats
10000,2,0.24091545689960392,,1
10000,4,0.21021118662329852,,1
10000,6,0.23978671766117188,,1
10000,8,0.21876348582567195,,1
10000,10,0.26195568217483634,,1
100000,2,0.1585338888787553,,1
100000,4,0.03792658192505116,,1
100000,6,0.03882508901569803,,1
100000,8,0.038593661134126434,,1
100000,10,0.04159870076467209,,1
