SystemSize_m,Avg_Naive_Error,Avg_Local_Error,Avg_Naive_Time_sec,Avg_Local_Time_sec,Condition,c,Samples,Locality,Repeats,Beta,Seed
100.0,0.3684589295745697,0.18437026561018738,0.04629715841729194,0.07074005000758916,ill,0.0,10000,3,5,0.5,20240628
150.0,0.36712023146712897,0.2465978058779513,0.10266207500826567,0.10735029161442071,ill,0.0,10000,3,5,0.5,20240628
200.0,0.35518001983608705,0.258232514197721,0.18548072499688714,0.18806766660418361,ill,0.0,10000,3,5,0.5,20240628
250.0,0.3624366592399431,0.28481441599014323,0.305723425000906,0.30663840000052006,ill,0.0,10000,3,5,0.5,20240628
300.0,0.3919207422645093,0.2867766809168588,0.48561812499538065,0.5045285500120371,ill,0.0,10000,3,5,0.5,20240628
350.0,0.38625428743734147,0.2792555240225115,0.6818467918084934,0.6805754332104698,ill,0.0,10000,3,5,0.5,20240628
400.0,0.44075729804751235,0.28479526159972995,0.9520854500122369,0.9413002416025847,ill,0.0,10000,3,5,0.5,20240628
450.0,0.5043538533110465,0.25666186253875145,1.2594052666099742,1.2563827249919997,ill,0.0,10000,3,5,0.5,20240628
500.0,0.499433544354417,0.29338829868817107,1.6063406584085897,1.519749250006862,ill,0.0,10000,3,5,0.5,20240628
550.0,0.8532180833162709,0.316965457761061,2.112413499993272,2.0156288081780076,ill,0.0,10000,3,5,0.5,20240628
600.0,0.7193623025507694,0.26535001151281645,2.608197658206336,2.4972606499912215,ill,0.0,10000,3,5,0.5,20240628
650.0,0.9338024386372303,0.2694123816590555,3.146893541608006,2.9395602834178134,ill,0.0,10000,3,5,0.5,20240628
700.0,3.0772176567465825,0.2678668171098146,3.857890816614963,3.453905074996874,ill,0.0,10000,3,5,0.5,20240628
750.0,1.0693229914083546,0.27347979917450027,4.517141666798852,4.203588808188215,ill,0.0,10000,3,5,0.5,20240628
800.0,1.1474815314354676,0.3073335310520677,5.637580141820945,5.234735633409582,ill,0.0,10000,3,5,0.5,20240628
850.0,1.1673606880979643,0.2949681891707975,6.293367850012146,5.832655333401635,ill,0.0,10000,3,5,0.5,20240628
900.0,1.0490426106778865,0.2970930745369352,7.492835008213296,6.784195324988104,ill,0.0,10000,3,5,0.5,20240628
950.0,1.1440568113220124,0.30780325218175075,8.518840874987655,7.701791183208115,ill,0.0,10000,3,5,0.5,20240628
1000.0,1.0611179805122188,0.27399730629332064,9.891625408409164,8.861760458420031,ill,0.0,10000,3,5,0.5,20240628
1050.0,1.020290893285367,0.3339973013944534,11.061240949993953,10.076752816792578,ill,0.0,10000,3,5,0.5,20240628
1100.0,1.3789588921960494,0.28378333768561476,12.63953247498721,11.209146966808476,ill,0.0,10000,3,5,0.5,20240628
1150.0,1.2302176125821254,0.38312227029331897,14.165743474988266,12.745209100004285,ill,0.0,10000,3,5,0.5,20240628
1200.0,1.233564361241144,0.2823539787701766,15.126299116597512,13.855010591587051,ill,0.0,10000,3,5,0.5,20240628
