condition,c,row,col,target,local_estimate,local_error,global_estimate,global_error
ill,0.0,4x,4p,-0.5,-0.4958726215535907,0.004127378446409313,-0.5038223700187068,-0.0038223700187067777
ill,0.0,4x,5x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4x,5p,0.0,0.0,0.0,0.0,0.0
ill,0.0,4p,1x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4p,1p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4p,2x,0.0,0.0,0.0,0.0,0.0
ill,0.0,4p,2p,0.0,0.0,0.0,-0.0,-0.0
ill,0.0,4p,3x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,4p,3p,0.0,0.0,0.0,0.0,0.0
ill,0.0,4p,4x,-0.5,-0.4958726215535907,0.004127378446409313,-0.5038223700187068,-0.0038223700187067777
ill,0.0,4p,4p,1.0,1.002695655977902,0.0026956559779018896,1.019727037028498,0.019727037028498096
ill,0.0,4p,5x,-0.5,-0.5107926606727414,-0.010792660672741428,-0.5225848916681205,-0.0225848916681205
ill,0.0,4p,5p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5x,1x,0.0,0.0,0.0,0.0,0.0
ill,0.0,5x,1p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5x,2x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5x,2p,0.0,0.0,0.0,0.0,0.0
ill,0.0,5x,3x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5x,3p,0.0,0.0,0.0,0.0,0.0
ill,0.0,5x,4x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5x,4p,-0.5,-0.5107926606727414,-0.010792660672741428,-0.5225848916681205,-0.0225848916681205
ill,0.0,5x,5x,1.0,1.0103359686216224,0.010335968621622449,1.030079651248375,0.030079651248374972
ill,0.0,5x,5p,-0.5,-0.49426241857076475,0.00573758142923525,-0.5036672185959734,-0.0036672185959734094
ill,0.0,5p,1x,0.0,0.0,0.0,-0.0,-0.0
ill,0.0,5p,1p,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,5p,2x,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5p,2p,0.0,-0.0,-0.0,0.0,0.0
ill,0.0,5p,3x,0.0,0.0,0.0,0.0,0.0
ill,0.0,5p,3p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5p,4x,0.0,0.0,0.0,0.0,0.0
ill,0.0,5p,4p,0.0,-0.0,-0.0,-0.0,-0.0
ill,0.0,5p,5x,-0.5,-0.49426241857076475,0.00573758142923525,-0.5036672185959734,-0.0036672185959734094
ill,0.0,5p,5p,1.0,1.0084693176207327,0.008469317620732664,1.0301285959863873,0.030128595986387285
