condition,c,row,col,target,local_estimate,local_error,global_estimate,global_error
well,0.1,4x,5p,0.0,0.0,0.0,0.0,0.0
well,0.1,4p,1x,0.0,0.0,0.0,0.0,0.0
well,0.1,4p,1p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,4p,2x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,4p,2p,0.0,0.0,0.0,0.0,0.0
well,0.1,4p,3x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,4p,3p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,4p,4x,-0.5,-0.49294044729967273,0.007059552700327265,-0.5015490824011894,-0.00154908240118945
well,0.1,4p,4p,1.05,1.0493664325924899,-0.0006335674075101938,1.070059808699904,0.02005980869990398
well,0.1,4p,5x,-0.5,-0.5012524798574611,-0.0012524798574611307,-0.5122483366080335,-0.012248336608033483
well,0.1,4p,5p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5x,1x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5x,1p,0.0,0.0,0.0,0.0,0.0
well,0.1,5x,2x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5x,2p,0.0,-0.0,-0.0,0.0,0.0
well,0.1,5x,3x,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5x,3p,0.0,0.0,0.0,0.0,0.0
well,0.1,5x,4x,0.0,0.0,0.0,-0.0,-0.0
well,0.1,5x,4p,-0.5,-0.5012524798574611,-0.0012524798574611307,-0.5122483366080335,-0.012248336608033483
well,0.1,5x,5x,1.05,1.046732611428658,-0.0032673885713421225,1.067269605758978,0.017269605758977846
well,0.1,5x,5p,-0.5,-0.4991401469563429,0.0008598530436570995,-0.5080927911535478,-0.008092791153547774
well,0.1,5p,1x,0.0,0.0,0.0,0.0,0.0
well,0.1,5p,1p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5p,2x,0.0,0.0,0.0,0.0,0.0
well,0.1,5p,2p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5p,3x,0.0,0.0,0.0,0.0,0.0
well,0.1,5p,3p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5p,4x,0.0,0.0,0.0,0.0,0.0
well,0.1,5p,4p,0.0,-0.0,-0.0,-0.0,-0.0
well,0.1,5p,5x,-0.5,-0.4991401469563429,0.0008598530436570995,-0.5080927911535478,-0.008092791153547774
well,0.1,5p,5p,1.05,1.0800328543738609,0.03003285437386083,1.103924740573036,0.05392474057303587
